Municipi;Codi;Altitud (m);Superfície (km²);Població
Omellons, els;251538;385;11,06;189
Omells de na Gaia, els;251543;560;13,48;121
Ordis;171156;98;8,55;396
Organyà;251556;558;12,53;809
Orís;081509;576;27,17;349
Oristà;081516;468;68,49;571
Orpí;081521;375;15,23;179
Òrrius;081537;259;5,66;806
Os de Balaguer;251569;463;135,96;1072
Osor;171169;340;52,07;422
Ossó de Sió;251575;391;26,29;195
Pacs del Penedès;081542;201;6,27;943
Palafolls;081555;16;16,56;9933
Palafrugell;171175;64;26,88;24245
Palamós;171181;12;13,98;18619
Palau d'Anglesola, el;251581;250;12,27;2200
Palau de Santa Eulàlia;171194;86;8,44;136
Palau-sator;171215;20;12,39;305
Palau-saverdera;171208;78;16,45;1498
Palau-solità i Plegamans;081568;130;14,93;15444
Pallaresos, els;431009;120;5,13;5018
Pallejà;081574;41;8,30;11811
Palma d'Ebre, la;430995;335;37,92;335
Palma de Cervelló, la;089058;100;5,46;3048
Palol de Revardit;171236;152;17,98;467
Pals;171241;55;25,83;2583
Papiol, el;081580;135;8,95;4358
Pardines;171254;1226;31,05;161
Parets del Vallès;081593;98;9,12;18879
Parlavà;171267;40;6,18;429
Passanant i Belltall;431016;714;27,35;162
Pau;171289;33;10,70;590
Paüls;431021;378;43,83;543
Pedret i Marzà;171292;22;8,65;188
Penelles;251641;276;25,51;435
Pera, la;171306;93;11,54;452
Perafita;081607;754;19,59;438
Perafort;431037;125;9,54;1319
Peralada;171328;32;43,61;2047
Peramola;251654;566;56,17;349
Perelló, el;431042;142;100,67;2933
Piera;081614;324;57,20;17560
Piles, les;431055;676;22,39;230
Pineda de Mar;081635;10;10,74;29415
Pinell de Brai, el;431068;189;56,99;975
Pinell de Solsonès;251667;800;91,11;203
Pinós;251673;823;104,32;277
Pira;431074;385;8,01;499
Pla de Santa Maria, el;431080;381;34,99;2391
Pla del Penedès, el;081640;216;9,56;1352
Planes d'Hostoles, les;171334;370;37,50;1748
Planoles;171349;1136;18,75;306
Plans de Sió, els;259118;412;55,89;521
Poal, el;251689;216;8,88;652
Pobla de Cérvoles, la;251692;663;61,92;209
Pobla de Claramunt, la;081653;265;18,54;2356
Pobla de Lillet, la;081666;843;51,45;1107
Pobla de Mafumet, la;431093;98;6,21;4127
Pobla de Massaluca, la;431107;357;43,40;344
Pobla de Montornès, la;431114;56;12,29;3357
Pobla de Segur, la;251713;524;32,83;3043
Poboleda;431129;343;13,95;333
Polinyà;081672;123;8,79;8559
Pont d'Armentera, el;431135;349;21,67;498
Pont de Bar, el;250306;861;42,62;165
Pont de Molins;171352;43;8,66;572
Pont de Suert, el;251734;838;148,14;2415
Pont de Vilomara i Rocafort, el;081825;202;27,41;4139
Pontils;431418;551;67,56;123
Pontons;081688;584;25,94;518
Pontós;171365;94;13,66;289
Ponts;251728;363;30,52;2670
Porqueres;171371;148;33,52;4782
Porrera;431140;316;28,83;417
Port de la Selva, el;171404;12;41,62;1058
Portbou;171387;28;9,22;1082
Portella, la;251749;259;12,31;723
Pradell de la Teixeta;431153;463;21,83;178
Prades;431166;950;32,58;671
Prat de Comte;431172;363;26,43;188
Prat de Llobregat, el;081691;8;31,41;65910
Pratdip;431188;245;36,27;763
Prats de Lluçanès;081712;707;13,78;2696
Prats de Rei, els;081705;608;26,06;554
Prats i Sansor;251752;1124;6,57;254
Preixana;251765;328;21,52;404
Preixens;251771;315;28,67;390
Premià de Dalt;082303;142;6,57;10574
Premià de Mar;081727;8;2,11;28928
Preses, les;171390;474;9,39;1924
Prullans;251790;1096;21,21;252
Puigcerdà;171411;1202;18,92;10041
Puigdàlber;081748;239;0,40;629
Puiggròs;251804;334;9,90;257
Puigpelat;431191;252;9,48;1208
Puig-reig;081751;455;45,75;4482
Puigverd d'Agramunt;251811;366;17,00;247
Puigverd de Lleida;251826;219;12,51;1417
Pujalt;081764;770;31,43;212
Quar, la;081770;885;38,25;44
Quart;171426;91;38,09;4099
Queralbs;170433;1236;93,47;206
Querol;431205;565;72,26;595
Rabós;171432;106;45,10;239
Rajadell;081786;361;45,53;594
Ràpita, la;431362;11;53,72;15802
Rasquera;431212;174;51,31;796
Regencós;171447;78;6,27;279
Rellinars;081799;322;17,79;920
Renau;431227;175;8,22;158
Reus;431233;117;52,82;109961
Rialp;251832;725;63,30;663
Riba, la;431248;263;7,99;568
Riba-roja d'Ebre;431251;76;99,14;1126
Ribera d'Ondara;259059;570;54,47;454
Ribera d'Urgellet;251850;702;106,96;960
Ribes de Freser;171450;912;41,87;1846
Riells i Viabrea;171463;96;26,98;4497
Riera de Gaià, la;431264;28;8,76;1806
Riner;251863;830;47,10;264
Ripoll;171479;691;73,71;10773
Ripollet;081803;79;4,33;39430
Riu de Cerdanya;259139;1173;12,34;99
Riudarenes;171485;84;47,60;2444
Riudaura;171498;572;23,60;528
Riudecanyes;431270;195;17,10;1359
Riudecols;431286;299;19,46;1248
Riudellots de la Selva;171501;98;13,13;2128
Riudoms;431299;125;32,43;6954
Riumors;171518;7;6,54;264
Roca del Vallès, la;081810;123;36,90;10956
Rocafort de Queralt;431303;566;8,47;246
Roda de Berà;431310;57;16,50;8027
Roda de Ter;081831;443;2,23;6883
Rodonyà;431325;312;8,49;522
Roquetes;431331;14;136,92;8374
Roses;171523;5;45,91;20255
Rosselló;251898;252;9,92;3353
Rourell, el;431346;114;2,32;403
Rubí;081846;123;32,30;81523
Rubió;081859;629;48,00;240
Rupià;171539;66;5,29;329
Rupit i Pruit;089019;822;47,81;281
Sabadell;081878;190;37,79;221564
Sagàs;081884;738;44,60;154
Salàs de Pallars;251902;573;20,27;354
Saldes;081901;1215;66,40;300
Sales de Llierca;171544;260;35,82;157
Sallent;081918;278;65,22;6932
Salomó;431359;165;12,21;530
Salou;439057;2;15,13;30442
Salt;171557;83;6,64;33946
Sanaüja;251919;409;32,99;387
Sant Adrià de Besòs;081944;14;3,82;38672
Sant Agustí de Lluçanès;081957;816;13,26;108
Sant Andreu de la Barca;081960;42;5,50;27039
Sant Andreu de Llavaneres;081976;114;11,83;11942
Sant Andreu Salou;171576;132;5,96;173
Sant Aniol de Finestres;171833;289;47,73;372
Sant Antoni de Vilamajor;081982;258;13,70;6654
Sant Bartomeu del Grau;081995;868;34,40;939
Sant Boi de Llobregat;082009;30;21,47;84588
Sant Boi de Lluçanès;082016;813;19,48;574
Sant Cebrià de Vallalta;082037;71;15,80;3812
Sant Celoni;082021;152;65,23;18708
Sant Climent de Llobregat;082042;87;10,81;4181
Sant Climent Sescebes;171582;86;24,37;675
Sant Cugat del Vallès;082055;124;48,23;98649
Sant Cugat Sesgarrigues;082068;266;6,24;1028
Sant Esteve de la Sarga;251961;875;92,87;124
Sant Esteve de Palautordera;082074;231;10,64;3081
Sant Esteve Sesrovires;082080;183;18,56;8039
Sant Feliu de Buixalleu;171595;402;61,94;878
Sant Feliu de Codines;082107;480;15,00;6624
Sant Feliu de Guíxols;171609;4;16,23;22934
Sant Feliu de Llobregat;082114;25;11,82;46381
Sant Feliu de Pallerols;171616;473;34,86;1670
Sant Feliu Sasserra;082129;617;22,36;629
Sant Ferriol;171621;146;42,24;236
Sant Fost de Campsentelles;082093;112;13,15;9196
Sant Fruitós de Bages;082135;247;22,29;9225
Sant Gregori;171637;112;49,17;4244
Sant Guim de Freixenet;251924;738;25,10;1214
Sant Guim de la Plana;251977;556;12,45;195
Sant Hilari Sacalm;171642;803;83,28;5969
Sant Hipòlit de Voltregà;082153;536;0,92;3684
Sant Iscle de Vallalta;081939;129;17,77;1463
Sant Jaume d'Enveja;439023;7;60,79;3671
Sant Jaume de Frontanyà;082166;1072;21,26;26
Sant Jaume de Llierca;171655;203;6,75;851
Sant Jaume dels Domenys;431378;213;24,45;2806
Sant Joan de les Abadesses;171674;773;53,67;3373
Sant Joan de Mollet;171680;54;3,15;526
Sant Joan de Vilatorrada;082188;277;16,43;10972
Sant Joan Despí;082172;10;6,17;35012
Sant Joan les Fonts;171851;342;31,94;3103
Sant Jordi Desvalls;171668;57;11,72;867
Sant Julià de Cerdanyola;089030;954;11,79;231
Sant Julià de Ramis;171693;128;18,80;3639
Sant Julià de Vilatorta;082205;600;15,94;3300
Sant Julià del Llor i Bonmatí;179032;160;9,73;1387
Sant Just Desvern;082212;122;7,81;20815
Sant Llorenç d'Hortons;082227;196;19,72;2617
Sant Llorenç de la Muga;171714;173;31,84;258
Sant Llorenç de Morunys;251930;925;4,34;1000
Sant Llorenç Savall;082233;466;41,11;2580
Sant Martí d'Albars;082251;629;14,73;140
Sant Martí de Centelles;082248;404;25,55;1260
Sant Martí de Llémena;171729;256;43,13;705
Sant Martí de Riucorb;259025;409;34,90;675
Sant Martí de Tous;082264;465;39,21;1273
Sant Martí Sarroca;082270;291;35,27;3385
Sant Martí Sesgueioles;082286;646;3,87;360
Sant Martí Vell;171735;65;17,52;262
